epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_sensitivity,val_specificity,val_ppv,val_npv,val_per_class_auc_0,val_per_class_auc_1,val_per_class_recall_0,val_per_class_recall_1,val_class_counts_0,val_class_counts_1,val_positive_rate,val_trivial_baseline_accuracy,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,seconds
1,3e-05,0.7342984681447973,0.45773838831445923,268,0.5560096153846154,0.22388059701492538,0.5,0.18292682926829268,1.0,0.0,0.22388059701492538,,,,0.0,1.0,208,60,0.22388059701492538,0.7761194029850746,0.7836859822273254,0.22429906542056074,"[0, 208]","[0, 60]",57.78273248672485
2,2.9992598405485974e-05,0.716779965867594,0.5087805678647629,268,0.5798076923076922,0.6380597014925373,0.5711538461538461,0.5528339210458416,0.45,0.6923076923076923,0.2967032967032967,0.8135593220338984,,,0.6923,0.45,208,60,0.22388059701492538,0.7761194029850746,0.6439061164855957,0.6401869158878505,"[144, 64]","[33, 27]",56.33565139770508
3,2.9970400926424075e-05,0.6825891391761038,0.6118496635483341,268,0.5827724358974358,0.5149253731343284,0.5748397435897437,0.49277894246447707,0.6833333333333333,0.46634615384615385,0.26973684210526316,0.8362068965517241,,,0.4663,0.6833,208,60,0.22388059701492538,0.7761194029850746,0.7517103552818298,0.5112149532710281,"[97, 111]","[19, 41]",56.274380922317505
4,2.9933429469046202e-05,0.6409011157142418,0.6924339405875595,268,0.5551282051282052,0.503731343283582,0.561698717948718,0.4819110742888705,0.6666666666666666,0.4567307692307692,0.26143790849673204,0.8260869565217391,,,0.4567,0.6667,208,60,0.22388059701492538,0.7761194029850746,0.8410648107528687,0.5018691588785047,"[95, 113]","[20, 40]",55.64939761161804
5,2.988172051971717e-05,0.5681123494045421,0.7761365501395043,268,0.551522435897436,0.7126865671641791,0.5184294871794872,0.515393466876453,0.16666666666666666,0.8701923076923077,0.2702702702702703,0.7835497835497836,,,0.8702,0.1667,208,60,0.22388059701492538,0.7761194029850746,0.5942606329917908,0.7242990654205608,"[181, 27]","[50, 10]",56.47540283203125
6,2.9815325108927066e-05,0.4945937256380272,0.8422780239619235,268,0.5267628205128205,0.6529850746268657,0.5036858974358974,0.5036542865677587,0.23333333333333334,0.7740384615384616,0.22950819672131148,0.7777777777777778,,,0.774,0.2333,208,60,0.22388059701492538,0.7761194029850746,0.6913339495658875,0.6588785046728972,"[161, 47]","[46, 14]",55.20257258415222
7,2.973430876093033e-05,0.4242503324127072,0.9034958148695224,268,0.5537660256410257,0.7126865671641791,0.5362179487179487,0.53729904257943,0.21666666666666667,0.8557692307692307,0.3023255813953488,0.7911111111111111,,,0.8558,0.2167,208,60,0.22388059701492538,0.7761194029850746,0.6490194201469421,0.7074766355140187,"[178, 30]","[47, 13]",56.26631307601929
8,2.963875142908121e-05,0.3874089791820532,0.9384539635647464,268,0.5431089743589743,0.7388059701492538,0.5115384615384616,0.49607822069410124,0.1,0.9230769230769231,0.2727272727272727,0.7804878048780488,,,0.9231,0.1,208,60,0.22388059701492538,0.7761194029850746,0.6308961510658264,0.7317757009345794,"[192, 16]","[54, 6]",56.13447642326355
9,2.9528747416929464e-05,0.3688056879436443,0.9542097488921714,268,0.5229166666666667,0.6529850746268657,0.5214743589743589,0.5201663361761931,0.2833333333333333,0.7596153846153846,0.2537313432835821,0.7860696517412935,,,0.7596,0.2833,208,60,0.22388059701492538,0.7761194029850746,0.8169321417808533,0.6588785046728972,"[158, 50]","[43, 17]",54.97475266456604
10,2.9404405285154146e-05,0.3543985862362547,0.9607746594452651,268,0.5302884615384615,0.6417910447761194,0.5083333333333333,0.5073529411764706,0.26666666666666666,0.75,0.23529411764705882,0.78,,,0.75,0.2667,208,60,0.22388059701492538,0.7761194029850746,0.8664228916168213,0.6504672897196262,"[156, 52]","[44, 16]",56.298367738723755
11,2.92658477444273e-05,0.3358453412214837,0.9737403577876251,268,0.5594551282051281,0.7052238805970149,0.549198717948718,0.5512029676735559,0.26666666666666666,0.8317307692307693,0.3137254901960784,0.7972350230414746,,,0.8317,0.2667,208,60,0.22388059701492538,0.7761194029850746,0.7966245412826538,0.7018691588785047,"[173, 35]","[44, 16]",55.8103973865509
12,2.9113211534313382e-05,0.3322767329376436,0.9768586903003447,268,0.5037660256410257,0.7201492537313433,0.5173076923076922,0.5121240806815699,0.15,0.8846153846153846,0.2727272727272727,0.7829787234042553,,,0.8846,0.15,208,60,0.22388059701492538,0.7761194029850746,0.7279384732246399,0.7158878504672898,"[184, 24]","[51, 9]",55.960991621017456
13,2.894664728832377e-05,0.3196260573416728,0.9835877236172658,268,0.48942307692307696,0.6380597014925373,0.4703525641025641,0.46971829549395183,0.16666666666666666,0.7740384615384616,0.17543859649122806,0.7630331753554502,,,0.774,0.1667,208,60,0.22388059701492538,0.7761194029850746,0.916227400302887,0.6691588785046729,"[161, 47]","[50, 10]",56.37899088859558
14,2.8766319385259714e-05,0.3230100475507242,0.9816182504513375,268,0.5044871794871795,0.6940298507462687,0.5479166666666666,0.5489326765188834,0.2833333333333333,0.8125,0.30357142857142855,0.7971698113207547,,,0.8125,0.2833,208,60,0.22388059701492538,0.7761194029850746,0.8040902614593506,0.702803738317757,"[169, 39]","[43, 17]",55.53569769859314
15,2.8572405786990293e-05,0.32545654256805967,0.9803052683407188,268,0.4912660256410256,0.6977611940298507,0.5147435897435897,0.5132626292069329,0.18333333333333332,0.8461538461538461,0.2558139534883721,0.7822222222222223,,,0.8462,0.1833,208,60,0.22388059701492538,0.7761194029850746,0.7923086285591125,0.7,"[176, 32]","[49, 11]",56.07638931274414
16,2.8365097862825516e-05,0.3160218877900357,0.9853930740193665,268,0.48750000000000004,0.7089552238805971,0.5278846153846154,0.5277853076714557,0.2,0.8557692307692307,0.2857142857142857,0.7876106194690266,,,0.8558,0.2,208,60,0.22388059701492538,0.7761194029850746,0.7922759056091309,0.7140186915887851,"[178, 30]","[48, 12]",55.922837257385254
17,2.814460020065795e-05,0.31224177510950063,0.9852289512555391,268,0.5147435897435897,0.7201492537313433,0.49951923076923077,0.4854465862836955,0.1,0.8990384615384616,0.2222222222222222,0.7759336099585062,,,0.899,0.1,208,60,0.22388059701492538,0.7761194029850746,0.7095103859901428,0.7271028037383177,"[187, 21]","[54, 6]",54.62054467201233
18,2.7911130405059155e-05,0.30419933895710244,0.9903167569341867,268,0.47868589743589746,0.7089552238805971,0.5100961538461538,0.5051136363636364,0.15,0.8701923076923077,0.25,0.7801724137931034,,,0.8702,0.15,208,60,0.22388059701492538,0.7761194029850746,0.7842265367507935,0.7074766355140187,"[181, 27]","[51, 9]",56.01837778091431
