epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1505691771082351,0.4392053416865881,268,0.6027516942014813,0.417910447761194,0.4312068048910154,0.4088788497615707,0.653,0.5819,0.5734,0.4015,0.3421,0.55,132,76,60,"[53, 32, 47]","[13, 26, 37]","[12, 15, 33]",1.2489702701568604,0.40103189493433394,24.183445692062378
2,9.997532801828658e-05,0.9873707791505234,0.5623608935784354,268,0.5915386374461451,0.417910447761194,0.41722488038277517,0.4039213609050672,0.5646,0.6431,0.5669,0.4394,0.3289,0.4833,132,76,60,"[58, 24, 50]","[27, 25, 24]","[18, 13, 29]",1.2684626579284668,0.40384615384615385,20.00142765045166
3,9.990133642141359e-05,0.8367619953528151,0.6757068667051356,268,0.6204131921140436,0.48880597014925375,0.44606592238171183,0.44869316300035633,0.6363,0.6464,0.5786,0.6136,0.4079,0.3167,132,76,60,"[81, 18, 33]","[28, 31, 17]","[28, 13, 19]",1.2728838920593262,0.4704502814258912,19.934261560440063
4,9.977809823015401e-05,0.7106015676520897,0.7614376391064216,268,0.6132389062390997,0.39552238805970147,0.4281233386496545,0.3949518219397737,0.5946,0.6424,0.6027,0.2879,0.5132,0.4833,132,76,60,"[38, 42, 52]","[12, 39, 25]","[13, 18, 29]",1.5477575063705444,0.3878986866791745,20.077665090560913
5,9.960573506572391e-05,0.6294215797208598,0.8226032478773391,268,0.5701054833431961,0.4552238805970149,0.3963317384370016,0.39732359132395056,0.5487,0.5926,0.569,0.6364,0.3026,0.25,132,76,60,"[84, 26, 22]","[40, 23, 13]","[37, 8, 15]",1.4436800479888916,0.4474671669793621,20.189245462417603
6,9.93844170297569e-05,0.5666234025301913,0.8636550985079549,268,0.5953122876328177,0.44776119402985076,0.3749601275917065,0.3698069288212496,0.5976,0.5844,0.6039,0.6591,0.3158,0.15,132,76,60,"[87, 30, 15]","[40, 24, 12]","[39, 12, 9]",1.3845664262771606,0.4432457786116323,20.072619438171387
7,9.911436253643445e-05,0.5184304335869879,0.8988541752534828,268,0.6400118019772625,0.47761194029850745,0.4652312599681021,0.4509032550187331,0.6364,0.6637,0.62,0.4773,0.6184,0.3,132,76,60,"[63, 44, 25]","[16, 47, 13]","[18, 24, 18]",1.4225821495056152,0.4530956848030019,19.933801412582397
8,9.879583809693738e-05,0.4854769031819306,0.9223477042288352,268,0.6279645913619404,0.47388059701492535,0.44574694311536417,0.4429483287406784,0.6604,0.6199,0.6036,0.553,0.4342,0.35,132,76,60,"[73, 29, 30]","[24, 33, 19]","[15, 24, 21]",1.3738170862197876,0.4521575984990619,19.89441728591919
9,9.842915805643157e-05,0.46056349048924244,0.9381749237490726,268,0.6203268131722078,0.503731343283582,0.4491493886230728,0.4458660680882904,0.6288,0.6597,0.5725,0.6439,0.4868,0.2167,132,76,60,"[85, 33, 14]","[27, 37, 12]","[31, 16, 13]",1.3340660333633423,0.4812382739212008,19.803186655044556
10,9.801468428384717e-05,0.44538108719396585,0.9479845025142197,268,0.6135682163231505,0.44029850746268656,0.4009037745879851,0.40344585828804985,0.6174,0.6418,0.5815,0.5606,0.3421,0.3,132,76,60,"[74, 19, 39]","[29, 26, 21]","[30, 12, 18]",1.393916130065918,0.4437148217636023,19.912210702896118
