epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1525471770412579,0.4356607039815349,268,0.6543200540322252,0.43656716417910446,0.4598883572567783,0.43382770157195166,0.6534,0.6803,0.6292,0.3788,0.4342,0.5667,132,76,60,"[50, 26, 56]","[16, 33, 27]","[9, 17, 34]",1.140476107597351,0.41838649155722324,17.624538898468018
2,9.997532801828658e-05,0.9833527127040228,0.5643392960184651,268,0.6229911511669445,0.44402985074626866,0.46169590643274855,0.43853452768557677,0.5901,0.6526,0.6263,0.4167,0.3684,0.6,132,76,60,"[55, 17, 60]","[27, 28, 21]","[13, 11, 36]",1.2936862707138062,0.4174484052532833,13.263694047927856
3,9.990133642141359e-05,0.8300641982575633,0.6816420740252246,268,0.6228479931338872,0.44029850746268656,0.4323232323232323,0.4242849424738304,0.61,0.6977,0.5608,0.447,0.5,0.35,132,76,60,"[59, 30, 43]","[20, 38, 18]","[20, 19, 21]",1.2780790328979492,0.4399624765478424,13.353026628494263
4,9.977809823015401e-05,0.7059998660456681,0.7668782458165032,268,0.6505677364109059,0.5074626865671642,0.48362573099415207,0.48160786581839216,0.6433,0.6835,0.6249,0.5833,0.4342,0.4333,132,76,60,"[77, 21, 34]","[30, 33, 13]","[21, 13, 26]",1.2740373611450195,0.4727954971857411,13.590041875839233
5,9.960573506572391e-05,0.6244302513318152,0.82466408375237,268,0.556323056190026,0.45149253731343286,0.3887028176501861,0.38629600364376654,0.534,0.5849,0.5501,0.6591,0.2237,0.2833,132,76,60,"[87, 15, 30]","[43, 17, 16]","[40, 3, 17]",1.4854248762130737,0.4268292682926829,13.462099552154541
6,9.93844170297569e-05,0.5687761307548842,0.8612645288929189,268,0.601652613221402,0.4664179104477612,0.4353269537480064,0.43473261999925,0.5778,0.61,0.6171,0.5455,0.4605,0.3,132,76,60,"[72, 41, 19]","[31, 35, 10]","[24, 18, 18]",1.3822683095932007,0.44183864915572235,13.388163805007935
7,9.911436253643445e-05,0.5255348835112522,0.8943203363284148,268,0.6531794186205949,0.4962686567164179,0.46015417331206815,0.4519479144657786,0.6466,0.6823,0.6307,0.5682,0.5789,0.2333,132,76,60,"[75, 38, 19]","[26, 44, 6]","[25, 21, 14]",1.3271344900131226,0.46904315196998125,12.989351034164429
8,9.879583809693738e-05,0.4969915821294617,0.9150111285137251,268,0.6293616422921763,0.4664179104477612,0.44186602870813396,0.43966688266493864,0.6432,0.6468,0.5981,0.5379,0.4211,0.3667,132,76,60,"[71, 30, 31]","[28, 32, 16]","[24, 14, 22]",1.3364098072052002,0.4648217636022514,13.177239179611206
9,9.842915805643157e-05,0.46587163214337235,0.9357019206990356,268,0.6325065277537222,0.47388059701492535,0.4338383838383839,0.43051822127332406,0.6276,0.6643,0.6057,0.5682,0.5,0.2333,132,76,60,"[75, 31, 26]","[30, 38, 8]","[28, 18, 14]",1.3397198915481567,0.45825515947467166,13.278604745864868
10,9.801468428384717e-05,0.45272221123825324,0.9459236666391888,268,0.6378881940535385,0.5111940298507462,0.46238702817650185,0.46690836967796073,0.6406,0.6606,0.6125,0.6591,0.3947,0.3333,132,76,60,"[87, 15, 30]","[34, 30, 12]","[30, 10, 20]",1.3216990232467651,0.4624765478424015,13.350184917449951
