epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
19,2.7664918882530227e-05,0.3547199799590719,0.9855571967831939,268,0.6138167047198587,0.5335820895522388,0.4577618288144604,0.45672861621137484,0.6315,0.6004,0.6095,0.7803,0.2763,0.3167,132,76,60,"[103, 12, 17]","[39, 21, 16]","[34, 7, 19]",1.4439812898635864,0.5112149532710281,46.908933877944946
20,2.7406208614118427e-05,0.35582716751036025,0.9847365829640571,268,0.6138420478300509,0.5186567164179104,0.4318181818181818,0.4266542336313604,0.649,0.5979,0.5947,0.7955,0.25,0.25,132,76,60,"[105, 11, 16]","[45, 19, 12]","[33, 12, 15]",1.4603854417800903,0.505607476635514,49.82255792617798
21,2.713525491562421e-05,0.35150488072891023,0.98703430165764,268,0.6159562195093349,0.4925373134328358,0.43460925039872406,0.43495677841028885,0.6437,0.6011,0.6031,0.6591,0.3947,0.25,132,76,60,"[87, 30, 15]","[34, 30, 12]","[26, 19, 15]",1.4883359670639038,0.4981308411214953,50.260870933532715
22,2.685232518563535e-05,0.34600260096114394,0.9904808796980141,268,0.6388741190332715,0.5149253731343284,0.4255715045188729,0.4199748119767277,0.6233,0.6504,0.6429,0.803,0.2237,0.25,132,76,60,"[106, 14, 12]","[50, 17, 9]","[36, 9, 15]",1.4050707817077637,0.5214953271028038,50.68924427032471
23,2.6557698641636835e-05,0.3445568300713934,0.9901526341703595,268,0.6541863886242756,0.5410447761194029,0.48955342902711324,0.4910653726538203,0.6636,0.6833,0.6157,0.6818,0.4868,0.3,132,76,60,"[90, 27, 15]","[27, 37, 12]","[28, 14, 18]",1.4608588218688965,0.5186915887850467,49.920722246170044
24,2.6251666044456892e-05,0.3423079955994584,0.9913014935171508,268,0.6497434529265024,0.4925373134328358,0.45677830940988834,0.4535966656650607,0.6569,0.6543,0.638,0.6212,0.3158,0.4333,132,76,60,"[82, 22, 28]","[35, 24, 17]","[23, 11, 26]",1.5817580223083496,0.4897196261682243,50.466224193573
25,2.593452941132117e-05,0.3472078374389668,0.989003774823568,268,0.6087900167428031,0.4962686567164179,0.40847953216374266,0.4029011149964082,0.6124,0.6486,0.5654,0.75,0.3421,0.1333,132,76,60,"[99, 16, 17]","[39, 26, 11]","[43, 9, 8]",1.4606586694717407,0.49906542056074765,49.664445638656616
26,2.560660171779821e-05,0.34678166319188003,0.988511406532086,268,0.6454198732231821,0.5111940298507462,0.46355661881977667,0.4661840781393783,0.6265,0.6758,0.634,0.6591,0.3816,0.35,132,76,60,"[87, 21, 24]","[36, 29, 11]","[26, 13, 21]",1.5113016366958618,0.49439252336448597,50.206077098846436
27,2.526820658893033e-05,0.33699684512452815,0.9927785983915969,268,0.6557009951263048,0.5223880597014925,0.4324827219564062,0.4264952811070581,0.6671,0.6612,0.6389,0.8106,0.2368,0.25,132,76,60,"[107, 11, 14]","[46, 18, 12]","[36, 9, 15]",1.3709512948989868,0.5327102803738317,50.32660436630249
28,2.4919677979854776e-05,0.3424513626036025,0.9911373707533235,268,0.6151302727952302,0.5373134328358209,0.4607655502392345,0.4593677672633522,0.6167,0.6101,0.6186,0.7955,0.2368,0.35,132,76,60,"[105, 12, 15]","[47, 18, 11]","[35, 4, 21]",1.4254047870635986,0.516822429906542,50.084208250045776
29,2.4561359846230346e-05,0.34174346297749464,0.9917938618086328,268,0.6193158119507771,0.5298507462686567,0.46921850079744815,0.4675185348848627,0.6552,0.6256,0.5771,0.7348,0.2895,0.3833,132,76,60,"[97, 13, 22]","[39, 22, 15]","[24, 13, 23]",1.4848992824554443,0.5186915887850467,50.33124136924744
30,2.419360580479465e-05,0.3355545402062305,0.9939274577383883,268,0.6116110084231214,0.48880597014925375,0.4083200425305688,0.4021390686017369,0.6413,0.6501,0.5434,0.7197,0.3553,0.15,132,76,60,"[95, 23, 14]","[37, 27, 12]","[37, 14, 9]",1.5161832571029663,0.497196261682243,50.123613119125366
31,2.38167787843871e-05,0.3392559372692024,0.9935992122107337,268,0.6347675034159167,0.5410447761194029,0.4716374269005848,0.47510386982038755,0.6466,0.6479,0.6099,0.75,0.3816,0.2833,132,76,60,"[99, 21, 12]","[35, 29, 12]","[33, 10, 17]",1.4319126605987549,0.5308411214953271,50.488709688186646
32,2.343125066778196e-05,0.33925369340329065,0.9924503528639422,268,0.6322324124641269,0.4962686567164179,0.4499468367889421,0.4508182884566649,0.6497,0.6519,0.595,0.6288,0.4211,0.3,132,76,60,"[83, 28, 21]","[32, 32, 12]","[24, 18, 18]",1.5236823558807373,0.49906542056074765,49.67296814918518
