site,split,patients,images,patients_HRposHER2neg,patients_TripleNeg,patients_HER2pos,trivial_baseline
global_test,test,268,2115,137,78,53,0.5111940298507462
global_val,val,268,2132,132,76,60,0.4925373134328358
