epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
19,9.22163962751008e-05,0.371130458639024,0.9906850218448603,268,0.6146411968127331,0.4701492537313433,0.4355130249867092,0.43211155085772196,0.6342,0.6603,0.5494,0.553,0.4868,0.2667,132,76,60,"[73, 35, 24]","[21, 37, 18]","[26, 18, 16]",1.3024884462356567,0.44840525328330205,20.10107970237732
20,9.135402871372814e-05,0.36785900243951447,0.9918390899348776,268,0.6100779917536884,0.4626865671641791,0.40228601807549175,0.4027457184484455,0.6346,0.6491,0.5465,0.6288,0.3947,0.1833,132,76,60,"[83, 24, 25]","[31, 30, 15]","[38, 11, 11]",1.3034697771072388,0.46106941838649157,19.776055335998535
21,9.045084971874742e-05,0.36663260384036767,0.9911796224548677,268,0.606058580115275,0.4925373134328358,0.40478468899521536,0.3959423053850697,0.6454,0.6262,0.5466,0.7424,0.3553,0.1167,132,76,60,"[98, 19, 15]","[38, 27, 11]","[41, 12, 7]",1.2375799417495728,0.4812382739212008,19.793246746063232
22,8.950775061878456e-05,0.3631047506774998,0.9934877586349024,268,0.6119750339637143,0.48507462686567165,0.42440191387559806,0.41532313334915383,0.6505,0.6171,0.5683,0.6364,0.4868,0.15,132,76,60,"[84, 33, 15]","[26, 37, 13]","[29, 22, 9]",1.2809202671051025,0.4718574108818011,19.812335729599
23,8.852566213878951e-05,0.3588547999443574,0.993735058939906,268,0.6318320477037583,0.4962686567164179,0.44202551834130777,0.44372894108219985,0.6676,0.6416,0.5863,0.6515,0.4079,0.2667,132,76,60,"[86, 22, 24]","[29, 31, 16]","[31, 13, 16]",1.228011131286621,0.48358348968105064,19.918796062469482
24,8.750555348152303e-05,0.3581519019583093,0.9947242601599209,268,0.6134071950151672,0.4925373134328358,0.45816055289739505,0.45863676035050926,0.6376,0.6088,0.5938,0.6061,0.3684,0.4,132,76,60,"[80, 15, 37]","[27, 28, 21]","[26, 10, 24]",1.3103574514389038,0.4549718574108818,19.94858694076538
25,8.644843137107063e-05,0.3558857472590883,0.995136427334927,268,0.6037370798061588,0.47761194029850745,0.3939925571504519,0.38797521306672467,0.6231,0.6101,0.578,0.7197,0.3289,0.1333,132,76,60,"[95, 19, 18]","[34, 25, 17]","[38, 14, 8]",1.275825023651123,0.4620075046904315,19.875479698181152
26,8.535533905932742e-05,0.35496613950055644,0.9953012942049295,268,0.6368648529832741,0.4962686567164179,0.45111642743221686,0.45270297773400275,0.6496,0.653,0.608,0.6288,0.4079,0.3167,132,76,60,"[83, 24, 25]","[26, 31, 19]","[30, 11, 19]",1.2689672708511353,0.48358348968105064,19.88821578025818
27,8.422735529643448e-05,0.352879623678489,0.9957958948149369,268,0.6037652344323203,0.43656716417910446,0.3967304625199362,0.3991977015232829,0.6197,0.6245,0.5671,0.5455,0.3947,0.25,132,76,60,"[72, 26, 34]","[26, 30, 20]","[34, 11, 15]",1.2972649335861206,0.4437148217636023,19.960235357284546
28,8.306559326618263e-05,0.35163603803015003,0.9956310279449344,268,0.6100794745652524,0.4626865671641791,0.4144072301967039,0.4153745797581414,0.6275,0.6373,0.5655,0.5985,0.3947,0.25,132,76,60,"[79, 28, 25]","[29, 30, 17]","[33, 12, 15]",1.2787038087844849,0.45684803001876173,19.622981309890747
