epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,val_confusion_2,seconds
1,0.0001,1.0889521164784437,0.4444810815266672,268,0.6613741344439874,0.39925373134328357,0.46796916533758637,0.40119623446195457,0.6615,0.7214,0.6013,0.2197,0.4342,0.75,132,76,60,1.190900206565857,0.37570356472795496,"[29, 23, 80]","[7, 33, 36]","[2, 13, 45]",57.17438220977783
2,9.997532801828658e-05,1.0026028518104444,0.5386200642980793,268,0.6238692180497522,0.4701492537313433,0.4604465709728868,0.45194285597069284,0.6413,0.6572,0.5731,0.4848,0.5132,0.3833,132,76,60,1.2005475759506226,0.4526266416510319,"[64, 31, 37]","[24, 39, 13]","[17, 20, 23]",53.28995084762573
3,9.990133642141359e-05,0.9036671930384964,0.6154480257192317,268,0.6335499403417361,0.44776119402985076,0.4560340244550771,0.4428077531021219,0.636,0.6817,0.5829,0.4242,0.4605,0.4833,132,76,60,1.2924470901489258,0.4174484052532833,"[56, 18, 58]","[15, 35, 26]","[11, 20, 29]",53.09005355834961
4,9.977809823015401e-05,0.8074387158931663,0.6851042782952765,268,0.6578614854035713,0.5149253731343284,0.47442849548112703,0.47187450230928496,0.6595,0.7131,0.601,0.6136,0.5263,0.2833,132,76,60,1.2301032543182373,0.49953095684803,"[81, 24, 27]","[25, 40, 11]","[22, 21, 17]",53.333186626434326
5,9.960573506572391e-05,0.7269943900183414,0.7512158931662682,268,0.5980392795843649,0.5074626865671642,0.4531100478468899,0.4611979790558635,0.5971,0.6547,0.5422,0.6742,0.3684,0.3167,132,76,60,1.357150673866272,0.4709193245778612,"[89, 9, 34]","[34, 28, 14]","[35, 6, 19]",53.36747741699219
6,9.93844170297569e-05,0.65630530446274,0.7978732173769681,268,0.5976047631741324,0.43656716417910446,0.38296119085592767,0.3746791857585548,0.6144,0.6414,0.537,0.5682,0.4474,0.1333,132,76,60,1.3586196899414062,0.4455909943714822,"[75, 36, 21]","[34, 34, 8]","[32, 20, 8]",53.13294172286987
7,9.911436253643445e-05,0.6046971440678839,0.8339790619075097,268,0.6350400945481246,0.47388059701492535,0.46834130781499206,0.46102478497957106,0.6137,0.7015,0.5898,0.4848,0.4868,0.4333,132,76,60,1.3484183549880981,0.45075046904315197,"[64, 22, 46]","[26, 37, 13]","[19, 15, 26]",53.18956708908081
8,9.879583809693738e-05,0.5626816514121877,0.8637375319429561,268,0.6379051176506673,0.5111940298507462,0.46653375863902186,0.46214469462774277,0.6607,0.6882,0.5648,0.6136,0.5526,0.2333,132,76,60,1.3835155963897705,0.4727954971857411,"[81, 23, 28]","[22, 42, 12]","[24, 22, 14]",53.4190149307251
9,9.842915805643157e-05,0.5211616851326147,0.8944852031984173,268,0.6270419931483205,0.5,0.4340776182881447,0.4400469708584413,0.6272,0.664,0.5899,0.697,0.3553,0.25,132,76,60,1.4012306928634644,0.4826454033771107,"[92, 12, 28]","[35, 27, 14]","[39, 6, 15]",53.19952440261841
10,9.801468428384717e-05,0.5058230286172821,0.902398812958536,268,0.6257688105453197,0.4701492537313433,0.45624667729930896,0.4521063018919287,0.6211,0.6868,0.5694,0.4924,0.5263,0.35,132,76,60,1.5215895175933838,0.45637898686679174,"[65, 22, 45]","[18, 40, 18]","[22, 17, 21]",53.08266472816467
11,9.75528258147577e-05,0.48245234478041793,0.9176489984337647,268,0.6092887977175904,0.48507462686567165,0.4353535353535353,0.43514275885792914,0.6177,0.6568,0.5534,0.6061,0.5,0.2,132,76,60,1.4379360675811768,0.4638836772983114,"[80, 21, 31]","[27, 38, 11]","[33, 15, 12]",53.23280215263367
12,9.70440384477113e-05,0.4658412428643558,0.9261396422388921,268,0.6111391849249821,0.48134328358208955,0.4451621477937267,0.43906402988518645,0.6072,0.689,0.5372,0.553,0.5658,0.2167,132,76,60,1.618372917175293,0.4535647279549719,"[73, 30, 29]","[22, 43, 11]","[31, 16, 13]",53.39177083969116
13,9.64888242944126e-05,0.4519535436072871,0.9347951529140219,268,0.6205599434749977,0.5,0.4317384370015949,0.4343245244932148,0.6408,0.6709,0.55,0.697,0.3816,0.2167,132,76,60,1.3975493907928467,0.4812382739212008,"[92, 14, 26]","[33, 29, 14]","[35, 12, 13]",53.43076777458191
14,9.588773128419907e-05,0.4392253462848281,0.9406479267991097,268,0.6264671321003558,0.44402985074626866,0.4301701222753855,0.4196438571956728,0.6439,0.6617,0.5738,0.4545,0.5526,0.2833,132,76,60,1.5419268608093262,0.43621013133208253,"[60, 39, 33]","[19, 42, 15]","[22, 21, 17]",53.232651710510254
15,9.5241352623301e-05,0.4322268764554653,0.9440276976341604,268,0.6374837510915298,0.5373134328358209,0.4467304625199362,0.44115310407445235,0.6415,0.6748,0.5962,0.7955,0.3947,0.15,132,76,60,1.3280551433563232,0.4929643527204503,"[105, 16, 11]","[37, 30, 9]","[41, 10, 9]",53.18631458282471
16,9.455032620941843e-05,0.42093667566564996,0.9516115736542742,268,0.626231703345674,0.458955223880597,0.4005050505050505,0.3990289314232976,0.6503,0.6849,0.5435,0.6515,0.25,0.3,132,76,60,1.4615691900253296,0.4648217636022514,"[86, 11, 35]","[35, 19, 22]","[31, 11, 18]",53.4412317276001
17,9.381533400219321e-05,0.41485745133851293,0.9576292144093644,268,0.6231784139170943,0.503731343283582,0.39954811270600743,0.3829815398065879,0.622,0.7057,0.5418,0.803,0.3289,0.0667,132,76,60,1.3261550664901733,0.4873358348968105,"[106, 12, 14]","[45, 25, 6]","[48, 8, 4]",53.135178327560425
18,9.303710135019722e-05,0.4094501722085978,0.9591130162393867,268,0.6015312275229071,0.48880597014925375,0.4241626794258373,0.42760099255161244,0.6052,0.6734,0.526,0.6742,0.3816,0.2167,132,76,60,1.4229968786239624,0.4535647279549719,"[89, 14, 29]","[33, 29, 14]","[35, 12, 13]",52.96008086204529
19,9.22163962751008e-05,0.3962028615994147,0.9647184898194707,268,0.6352184078069333,0.5485074626865671,0.4820042530568846,0.4775099325528624,0.6687,0.6719,0.565,0.7197,0.5263,0.2,132,76,60,1.3735504150390625,0.5103189493433395,"[95, 27, 10]","[29, 40, 7]","[32, 16, 12]",53.116379261016846
20,9.135402871372814e-05,0.3931815232539568,0.9659549913444894,268,0.6267645965038574,0.5186567164179104,0.46461988304093566,0.4661995535390955,0.67,0.6798,0.5305,0.6667,0.4605,0.2667,132,76,60,1.3819345235824585,0.48358348968105064,"[88, 19, 25]","[25, 35, 16]","[29, 15, 16]",53.523184299468994
21,9.045084971874742e-05,0.3883103432064545,0.9704063968345561,268,0.6306959039519991,0.5298507462686567,0.44146730462519934,0.438767576509512,0.6679,0.6629,0.5613,0.7955,0.3289,0.2,132,76,60,1.347477912902832,0.5112570356472795,"[105, 10, 17]","[40, 25, 11]","[35, 13, 12]",53.35448980331421
22,8.950775061878456e-05,0.3858098086771495,0.9686752946995302,268,0.6558669478633682,0.5111940298507462,0.4430356193514089,0.44580487628361554,0.6593,0.6884,0.62,0.7045,0.4079,0.2167,132,76,60,1.3945130109786987,0.5032833020637899,"[93, 15, 24]","[34, 31, 11]","[36, 11, 13]",53.39319157600403
23,8.852566213878951e-05,0.38249524397720713,0.9717253317945759,268,0.6436422095598759,0.5111940298507462,0.4384104199893673,0.4386590038314176,0.6535,0.6819,0.5955,0.7424,0.2895,0.2833,132,76,60,1.4237189292907715,0.48874296435272047,"[98, 9, 25]","[36, 22, 18]","[34, 9, 17]",53.31823945045471
24,8.750555348152303e-05,0.37664077956269065,0.9740334679746105,268,0.6362318371557923,0.5074626865671642,0.4218500797448166,0.4081513107882276,0.647,0.6852,0.5765,0.7348,0.4474,0.0833,132,76,60,1.4011150598526,0.49390243902439024,"[97, 23, 12]","[32, 34, 10]","[45, 10, 5]",53.673288106918335
25,8.644843137107063e-05,0.37109894234038826,0.9784848734646773,268,0.6125946424683847,0.4626865671641791,0.4202020202020202,0.41427472063310217,0.6541,0.6681,0.5155,0.5606,0.5,0.2,132,76,60,1.530474066734314,0.46106941838649157,"[74, 35, 23]","[22, 38, 16]","[24, 24, 12]",53.413827419281006
26,8.535533905932742e-05,0.3673461682620971,0.9791443409446872,268,0.6190768744392002,0.5186567164179104,0.4492557150451888,0.4563376697523039,0.6105,0.6984,0.5483,0.7197,0.3947,0.2333,132,76,60,1.4441769123077393,0.48358348968105064,"[95, 7, 30]","[33, 30, 13]","[36, 10, 14]",53.293536901474
27,8.422735529643448e-05,0.36969592366663917,0.9779078394196686,268,0.6021525236889014,0.48134328358208955,0.4444710260499734,0.44131944444444443,0.6173,0.6787,0.5104,0.5606,0.5395,0.2333,132,76,60,1.5401265621185303,0.4540337711069418,"[74, 27, 31]","[20, 41, 15]","[30, 16, 14]",53.358500719070435
28,8.306559326618263e-05,0.3632862008361842,0.9820295111697305,268,0.6391738292667085,0.4962686567164179,0.45808080808080803,0.45579937304075235,0.653,0.6678,0.5968,0.5909,0.5,0.2833,132,76,60,1.5250837802886963,0.4704502814258912,"[78, 32, 22]","[27, 38, 11]","[24, 19, 17]",53.564846992492676
29,8.187119948743452e-05,0.35954344918236336,0.9824416783447366,268,0.614218197093584,0.5223880597014925,0.4485380116959064,0.4526477217356644,0.6267,0.6598,0.5562,0.75,0.3289,0.2667,132,76,60,1.3813368082046509,0.49343339587242024,"[99, 12, 21]","[41, 25, 10]","[38, 6, 16]",53.575995445251465
30,8.064535268264887e-05,0.35901874104824416,0.9831011458247465,268,0.654010420801249,0.5485074626865671,0.49928229665071777,0.5026949718123769,0.682,0.6676,0.6124,0.697,0.4342,0.3667,132,76,60,1.444366216659546,0.4981238273921201,"[92, 14, 26]","[24, 33, 19]","[27, 11, 22]",53.434102296829224
31,7.938926261462371e-05,0.3561686694341975,0.9840079136097601,268,0.6179347186288943,0.503731343283582,0.448936735778841,0.45037640657742894,0.6666,0.6708,0.5163,0.6591,0.4211,0.2667,132,76,60,1.4628673791885376,0.4807692307692308,"[87, 17, 28]","[24, 32, 20]","[24, 20, 16]",53.06554174423218
