epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_sensitivity,val_specificity,val_ppv,val_npv,val_per_class_auc_0,val_per_class_auc_1,val_per_class_recall_0,val_per_class_recall_1,val_class_counts_0,val_class_counts_1,val_positive_rate,val_trivial_baseline_accuracy,val_val_loss,val_val_acc_slice,val_confusion_0,val_confusion_1,seconds
1,0.0001,0.7572743668812671,0.5628988149498633,177,0.5092818015824712,0.5706214689265536,0.48828362751065124,0.48828362751065124,0.2830188679245283,0.6935483870967742,0.2830188679245283,0.6935483870967742,,,0.6935,0.283,124,53,0.2994350282485876,0.7005649717514124,0.7149354219436646,0.577683615819209,"[86, 38]","[38, 15]",9.568069219589233
2,9.997532801828658e-05,0.6482561749551333,0.6823154056517776,177,0.48128423615337795,0.559322033898305,0.4748174071819842,0.4748174071819842,0.2641509433962264,0.6854838709677419,0.2641509433962264,0.6854838709677419,,,0.6855,0.2642,124,53,0.2994350282485876,0.7005649717514124,0.9192473888397217,0.556497175141243,"[85, 39]","[39, 14]",8.192135572433472
3,9.990133642141359e-05,0.5625623148359161,0.7572926162260711,177,0.5534083992696287,0.5480225988700564,0.5639835666463786,0.5317460317460317,0.6037735849056604,0.5241935483870968,0.3516483516483517,0.7558139534883721,,,0.5242,0.6038,124,53,0.2994350282485876,0.7005649717514124,1.0143251419067383,0.5324858757062146,"[65, 59]","[21, 32]",8.022059202194214
4,9.977809823015401e-05,0.4766560278921206,0.8336371923427529,177,0.49208764455264764,0.615819209039548,0.4773280584297018,0.4603658536585366,0.1320754716981132,0.8225806451612904,0.2413793103448276,0.6891891891891891,,,0.8226,0.1321,124,53,0.2994350282485876,0.7005649717514124,0.9916181564331055,0.6073446327683616,"[102, 22]","[46, 7]",8.044513463973999
5,9.960573506572391e-05,0.4280946604642633,0.8792160437556974,177,0.5636031649421789,0.6101694915254238,0.5219111381618989,0.5220522052205221,0.3018867924528302,0.7419354838709677,0.3333333333333333,0.7131782945736435,,,0.7419,0.3019,124,53,0.2994350282485876,0.7005649717514124,0.8836038708686829,0.6101694915254238,"[92, 32]","[37, 16]",6.542489528656006
6,9.93844170297569e-05,0.3790838194632378,0.9172743846855059,177,0.5222154595252587,0.536723163841808,0.5127054169202678,0.5015796703296703,0.4528301886792453,0.5725806451612904,0.3116883116883117,0.71,,,0.5726,0.4528,124,53,0.2994350282485876,0.7005649717514124,1.1264548301696777,0.536723163841808,"[71, 53]","[29, 24]",7.95860743522644
7,9.911436253643445e-05,0.3732489809298798,0.9156791248860529,177,0.46804625684723067,0.5423728813559322,0.44651552038953135,0.4454415348315476,0.20754716981132076,0.6854838709677419,0.22,0.6692913385826772,,,0.6855,0.2075,124,53,0.2994350282485876,0.7005649717514124,0.9487988948822021,0.5635593220338984,"[85, 39]","[42, 11]",8.152515172958374
8,9.879583809693738e-05,0.3477455772045209,0.9355059252506837,177,0.5228241022519781,0.5819209039548022,0.5449634814363968,0.5372385528547201,0.4528301886792453,0.6370967741935484,0.34782608695652173,0.7314814814814815,,,0.6371,0.4528,124,53,0.2994350282485876,0.7005649717514124,1.019434928894043,0.5748587570621468,"[79, 45]","[29, 24]",8.121629476547241
9,9.842915805643157e-05,0.3254035108178555,0.9571558796718322,177,0.5360620815581254,0.5875706214689266,0.4949786975045648,0.4943450866825813,0.2641509433962264,0.7258064516129032,0.2916666666666667,0.6976744186046512,,,0.7258,0.2642,124,53,0.2994350282485876,0.7005649717514124,0.8651731610298157,0.5819209039548022,"[90, 34]","[39, 14]",7.9658989906311035
10,9.801468428384717e-05,0.3236218628931176,0.9539653600729262,177,0.526019476567255,0.615819209039548,0.5097382836275106,0.5075286415711948,0.24528301886792453,0.7741935483870968,0.3170731707317073,0.7058823529411765,,,0.7742,0.2453,124,53,0.2994350282485876,0.7005649717514124,0.8604536056518555,0.6129943502824858,"[96, 28]","[40, 13]",7.909718990325928
11,9.75528258147577e-05,0.3098436910234589,0.969690063810392,177,0.47702373706634205,0.5875706214689266,0.4625684723067559,0.4521517913928344,0.1509433962264151,0.7741935483870968,0.2222222222222222,0.6808510638297872,,,0.7742,0.1509,124,53,0.2994350282485876,0.7005649717514124,0.8735483288764954,0.5889830508474576,"[96, 28]","[45, 8]",7.9991912841796875
12,9.70440384477113e-05,0.30205742445661465,0.9721969006381039,177,0.5372793670115642,0.5932203389830508,0.5152160681679854,0.5152160681679854,0.32075471698113206,0.7096774193548387,0.32075471698113206,0.7096774193548387,,,0.7097,0.3208,124,53,0.2994350282485876,0.7005649717514124,0.8243016600608826,0.5861581920903954,"[88, 36]","[36, 17]",8.06157922744751
13,9.64888242944126e-05,0.2940264052440605,0.9785779398359161,177,0.5132379793061473,0.6271186440677966,0.5069993913572732,0.5009398496240601,0.20754716981132076,0.8064516129032258,0.3142857142857143,0.704225352112676,,,0.8065,0.2075,124,53,0.2994350282485876,0.7005649717514124,0.8921531438827515,0.6115819209039548,"[100, 24]","[42, 11]",8.065595865249634
14,9.588773128419907e-05,0.28911249096434877,0.9792616226071102,177,0.5397139379184419,0.5819209039548022,0.48554473524041386,0.4843307086614173,0.24528301886792453,0.7258064516129032,0.2765957446808511,0.6923076923076923,,,0.7258,0.2453,124,53,0.2994350282485876,0.7005649717514124,0.8922045230865479,0.6016949152542372,"[90, 34]","[40, 13]",7.26255989074707
15,9.5241352623301e-05,0.28451457410480285,0.9847310847766636,177,0.5139987827145466,0.6440677966101694,0.5244978697504565,0.519953506392871,0.22641509433962265,0.8225806451612904,0.35294117647058826,0.7132867132867133,,,0.8226,0.2264,124,53,0.2994350282485876,0.7005649717514124,0.8163508772850037,0.632768361581921,"[102, 22]","[41, 12]",8.123640298843384
16,9.455032620941843e-05,0.2841670854372009,0.986098450319052,177,0.4977175897748022,0.615819209039548,0.4827297626293366,0.4693121693121693,0.1509433962264151,0.8145161290322581,0.25806451612903225,0.6917808219178082,,,0.8145,0.1509,124,53,0.2994350282485876,0.7005649717514124,0.7999017834663391,0.6214689265536724,"[101, 23]","[45, 8]",8.099009037017822
17,9.381533400219321e-05,0.2722835905897476,0.9922515952597994,177,0.4983262325015216,0.5706214689265536,0.4720785149117468,0.47039370078740156,0.22641509433962265,0.717741935483871,0.2553191489361702,0.6846153846153846,,,0.7177,0.2264,124,53,0.2994350282485876,0.7005649717514124,0.8963913321495056,0.577683615819209,"[89, 35]","[41, 12]",8.041539192199707
18,9.303710135019722e-05,0.27237080354090704,0.9897447584320875,177,0.5295191722458916,0.5875706214689266,0.5003804017041996,0.500212741267938,0.2830188679245283,0.717741935483871,0.3,0.7007874015748031,,,0.7177,0.283,124,53,0.2994350282485876,0.7005649717514124,0.8691425919532776,0.5790960451977402,"[89, 35]","[38, 15]",8.03995418548584
19,9.22163962751008e-05,0.2719479806877421,0.9906563354603464,177,0.5617772367620207,0.5706214689265536,0.5152921485088253,0.5127499275572298,0.37735849056603776,0.6532258064516129,0.31746031746031744,0.7105263157894737,,,0.6532,0.3774,124,53,0.2994350282485876,0.7005649717514124,0.889224648475647,0.5861581920903954,"[81, 43]","[33, 20]",7.790038108825684
20,9.135402871372814e-05,0.275995941301205,0.9897447584320875,177,0.546865489957395,0.6045197740112994,0.5286822884966524,0.5286822884966524,0.33962264150943394,0.717741935483871,0.33962264150943394,0.717741935483871,,,0.7177,0.3396,124,53,0.2994350282485876,0.7005649717514124,0.9065391421318054,0.6016949152542372,"[89, 35]","[35, 18]",8.060726404190063
21,9.045084971874742e-05,0.269754943569465,0.9924794895168642,177,0.5025867315885576,0.5819209039548022,0.47474132684114423,0.47117248062015504,0.20754716981132076,0.7419354838709677,0.2558139534883721,0.6865671641791045,,,0.7419,0.2075,124,53,0.2994350282485876,0.7005649717514124,0.862152099609375,0.5819209039548022,"[92, 32]","[42, 11]",8.129106283187866
22,8.950775061878456e-05,0.2644136441003874,0.995897903372835,177,0.5569080949482654,0.6101694915254238,0.5273128423615338,0.5275983444861332,0.32075471698113206,0.7338709677419355,0.34,0.7165354330708661,,,0.7339,0.3208,124,53,0.2994350282485876,0.7005649717514124,0.8926206231117249,0.6059322033898306,"[91, 33]","[36, 17]",8.10127329826355
23,8.852566213878951e-05,0.2615792649163913,0.995897903372835,177,0.5353012781497261,0.632768361581921,0.5002282410225198,0.48850753567776645,0.16981132075471697,0.8306451612903226,0.3,0.7006802721088435,,,0.8306,0.1698,124,53,0.2994350282485876,0.7005649717514124,0.7675000429153442,0.632768361581921,"[103, 21]","[44, 9]",7.573045969009399
24,8.750555348152303e-05,0.2648418916825718,0.9938468550592525,177,0.5088253195374315,0.632768361581921,0.5272367620206938,0.5260165616116673,0.2641509433962264,0.7903225806451613,0.35,0.7153284671532847,,,0.7903,0.2642,124,53,0.2994350282485876,0.7005649717514124,0.8745138049125671,0.6101694915254238,"[98, 26]","[39, 14]",8.02407193183899
25,8.644843137107063e-05,0.26283040216214676,0.9963536918869644,177,0.5003043213633598,0.5875706214689266,0.48957699330493,0.48817587641117055,0.24528301886792453,0.7338709677419355,0.2826086956521739,0.6946564885496184,,,0.7339,0.2453,124,53,0.2994350282485876,0.7005649717514124,0.8580689430236816,0.5903954802259888,"[91, 33]","[40, 13]",7.9769086837768555
26,8.535533905932742e-05,0.2612252109357196,0.9943026435733819,177,0.5357577601947656,0.536723163841808,0.4748934875228241,0.4742828165749058,0.32075471698113206,0.6290322580645161,0.2698412698412698,0.6842105263157895,,,0.629,0.3208,124,53,0.2994350282485876,0.7005649717514124,0.9403872489929199,0.5522598870056498,"[78, 46]","[36, 17]",8.07905387878418
27,8.422735529643448e-05,0.2598744534098678,0.9963536918869644,177,0.563451004260499,0.6214689265536724,0.4975654290931223,0.4894743639416247,0.18867924528301888,0.8064516129032258,0.29411764705882354,0.6993006993006993,,,0.8065,0.1887,124,53,0.2994350282485876,0.7005649717514124,0.7898452877998352,0.6214689265536724,"[100, 24]","[43, 10]",8.077512741088867
28,8.306559326618263e-05,0.26100680299965817,0.9956700091157703,177,0.5794278758368837,0.5988700564971752,0.5084449178332319,0.5081986459515516,0.2830188679245283,0.7338709677419355,0.3125,0.7054263565891473,,,0.7339,0.283,124,53,0.2994350282485876,0.7005649717514124,0.8477226495742798,0.6115819209039548,"[91, 33]","[38, 15]",8.023049116134644
29,8.187119948743452e-05,0.25683246010960287,0.9963536918869644,177,0.5503651856360317,0.6666666666666666,0.5352251978088862,0.5277438610771944,0.20754716981132076,0.8629032258064516,0.39285714285714285,0.7181208053691275,,,0.8629,0.2075,124,53,0.2994350282485876,0.7005649717514124,0.7344691157341003,0.6610169491525424,"[107, 17]","[42, 11]",8.094483613967896
30,8.064535268264887e-05,0.25572723416491,0.9965815861440291,177,0.5136944613511869,0.615819209039548,0.5097382836275106,0.5075286415711948,0.24528301886792453,0.7741935483870968,0.3170731707317073,0.7058823529411765,,,0.7742,0.2453,124,53,0.2994350282485876,0.7005649717514124,0.812890887260437,0.614406779661017,"[96, 28]","[40, 13]",8.020440816879272
31,7.938926261462371e-05,0.2533436916911178,0.9988605287146763,177,0.5111077297626294,0.6214689265536724,0.4867620206938527,0.47276930600631306,0.1509433962264151,0.8225806451612904,0.26666666666666666,0.6938775510204082,,,0.8226,0.1509,124,53,0.2994350282485876,0.7005649717514124,0.8145344257354736,0.6313559322033898,"[102, 22]","[45, 8]",8.004217386245728
32,7.810416889260659e-05,0.2558715875950746,0.9972652689152234,177,0.5540170419963482,0.655367231638418,0.5163572732805843,0.5030149597238205,0.16981132075471697,0.8629032258064516,0.34615384615384615,0.7086092715231788,,,0.8629,0.1698,124,53,0.2994350282485876,0.7005649717514124,0.7704846858978271,0.6398305084745762,"[107, 17]","[44, 9]",7.5524866580963135
33,7.679133974894988e-05,0.2534820083715531,0.9984047402005469,177,0.5276932440657334,0.6214689265536724,0.49216372489348753,0.48134703695604636,0.16981132075471697,0.8145161290322581,0.28125,0.696551724137931,,,0.8145,0.1698,124,53,0.2994350282485876,0.7005649717514124,0.8305659890174866,0.6228813559322034,"[101, 23]","[44, 9]",8.159201622009277
34,7.545207078751862e-05,0.254198211697741,0.9977210574293528,177,0.4698721850273889,0.6892655367231638,0.5405508216676811,0.5254229025496027,0.16981132075471697,0.9112903225806451,0.45,0.7197452229299363,,,0.9113,0.1698,124,53,0.2994350282485876,0.7005649717514124,0.7752993106842041,0.6822033898305084,"[113, 11]","[44, 9]",8.051573038101196
35,7.408768370508582e-05,0.25433268933917785,0.9981768459434822,177,0.5155203895313452,0.632768361581921,0.48942483262325015,0.4704257767548907,0.1320754716981132,0.8467741935483871,0.2692307692307692,0.695364238410596,,,0.8468,0.1321,124,53,0.2994350282485876,0.7005649717514124,0.8231276869773865,0.6483050847457628,"[105, 19]","[46, 7]",8.303356409072876
36,7.26995249869774e-05,0.2576488122792274,0.995897903372835,177,0.5095861229458308,0.632768361581921,0.5110316494217895,0.5047139351672478,0.20754716981132076,0.8145161290322581,0.3235294117647059,0.7062937062937062,,,0.8145,0.2075,124,53,0.2994350282485876,0.7005649717514124,0.8485346436500549,0.6271186440677966,"[101, 23]","[42, 11]",8.138462543487549
37,7.12889645782537e-05,0.25317463487957215,0.9970373746581586,177,0.5095861229458307,0.6045197740112994,0.5016737674984784,0.49975775193798444,0.24528301886792453,0.7580645161290323,0.3023255813953488,0.7014925373134329,,,0.7581,0.2453,124,53,0.2994350282485876,0.7005649717514124,0.8955696821212769,0.6087570621468926,"[94, 30]","[40, 13]",7.749709844589233
38,6.985739453173908e-05,0.25235627973307884,0.9977210574293528,177,0.5407790626902008,0.5875706214689266,0.548995739500913,0.5416947469229951,0.4528301886792453,0.6451612903225806,0.35294117647058826,0.7339449541284404,,,0.6452,0.4528,124,53,0.2994350282485876,0.7005649717514124,0.9935522675514221,0.5720338983050848,"[80, 44]","[29, 24]",7.9988977909088135
39,6.840622763423397e-05,0.2508000501634429,0.9990884229717412,177,0.518715763846622,0.6779661016949152,0.5216828971393792,0.4978848355148559,0.1320754716981132,0.9112903225806451,0.3888888888888889,0.710691823899371,,,0.9113,0.1321,124,53,0.2994350282485876,0.7005649717514124,0.7645431160926819,0.672316384180791,"[113, 11]","[46, 7]",8.059285640716553
40,6.693689601226464e-05,0.2510823029871952,0.9981768459434822,177,0.5496043822276323,0.6214689265536724,0.5245739500912964,0.5242889807052028,0.2830188679245283,0.7661290322580645,0.3409090909090909,0.7142857142857143,,,0.7661,0.283,124,53,0.2994350282485876,0.7005649717514124,0.847714364528656,0.6186440677966102,"[95, 29]","[38, 15]",8.027211904525757
41,6.545084971874744e-05,0.25150392961806345,0.9984047402005469,177,0.5453438831405965,0.6045197740112994,0.5178788800973828,0.5179738562091503,0.3018867924528302,0.7338709677419355,0.32653061224489793,0.7109375,,,0.7339,0.3019,124,53,0.2994350282485876,0.7005649717514124,0.8835070729255676,0.6059322033898306,"[91, 33]","[37, 16]",7.429957628250122
42,6.394955530196154e-05,0.25208134333872206,0.9981768459434822,177,0.5234327449786975,0.6497175141242938,0.5123250152160682,0.49936131386861315,0.16981132075471697,0.8548387096774194,0.3333333333333333,0.7066666666666667,,,0.8548,0.1698,124,53,0.2994350282485876,0.7005649717514124,0.763645589351654,0.655367231638418,"[106, 18]","[44, 9]",8.002021789550781
43,6.24344943582428e-05,0.2498684433664967,0.9986326344576116,177,0.5170419963481436,0.6384180790960452,0.5312690200852099,0.5300365084633256,0.2641509433962264,0.7983870967741935,0.358974358974359,0.717391304347826,,,0.7984,0.2642,124,53,0.2994350282485876,0.7005649717514124,0.8163003921508789,0.6285310734463276,"[99, 25]","[39, 14]",8.007417440414429
44,6.0907162069827195e-05,0.25182293150353235,0.9979489516864175,177,0.5505173463177114,0.6666666666666666,0.5244217894096166,0.5103849219372685,0.16981132075471697,0.8790322580645161,0.375,0.7124183006535948,,,0.879,0.1698,124,53,0.2994350282485876,0.7005649717514124,0.7729514837265015,0.6666666666666666,"[109, 15]","[44, 9]",8.078119277954102
