epoch,lr,train_loss,train_acc,val_n_patients,val_auc,val_accuracy,val_balanced_accuracy,val_macro_f1,val_per_class_auc_0,val_per_class_auc_1,val_per_class_auc_2,val_per_class_recall_0,val_per_class_recall_1,val_per_class_recall_2,val_class_counts_0,val_class_counts_1,val_class_counts_2,val_confusion_0,val_confusion_1,val_confusion_2,val_val_loss,val_val_acc_slice,seconds
1,0.0001,1.1455185996877835,0.4355782705465337,268,0.6341594341545966,0.458955223880597,0.42942583732057416,0.41284181806088244,0.6429,0.695,0.5645,0.5909,0.1974,0.5,132,76,60,"[78, 6, 48]","[30, 15, 31]","[26, 4, 30]",1.1229190826416016,0.4399624765478424,17.1696720123291
2,9.997532801828658e-05,1.0014999826116973,0.5381254636880719,268,0.6190477331513515,0.43283582089552236,0.4592238171185539,0.4304510640546737,0.6051,0.613,0.639,0.3636,0.4474,0.5667,132,76,60,"[48, 32, 52]","[17, 34, 25]","[9, 17, 34]",1.2267358303070068,0.4071294559099437,13.556947231292725
3,9.990133642141359e-05,0.8962462518547523,0.6212183661693182,268,0.6348686691275701,0.4253731343283582,0.4246677299308878,0.3801802414726734,0.6587,0.6288,0.6171,0.4924,0.1316,0.65,132,76,60,"[65, 10, 57]","[25, 10, 41]","[15, 6, 39]",1.295161247253418,0.4174484052532833,13.549673557281494
4,9.977809823015401e-05,0.8000787947716593,0.6954084576704311,268,0.6402632334448316,0.5,0.43641679957469437,0.43945615727343723,0.6322,0.6384,0.6502,0.697,0.3289,0.2833,132,76,60,"[92, 13, 27]","[37, 25, 14]","[34, 9, 17]",1.2419100999832153,0.4727954971857411,13.445938110351562
5,9.960573506572391e-05,0.7137137518289919,0.7602835710164042,268,0.6555713477806163,0.5074626865671642,0.46007442849548114,0.46085311317509464,0.6522,0.6744,0.6401,0.6364,0.4605,0.2833,132,76,60,"[84, 22, 26]","[30, 35, 11]","[26, 17, 17]",1.2429392337799072,0.4817073170731707,13.184558153152466
6,9.93844170297569e-05,0.6497104284091377,0.8074354958371115,268,0.6011572207247516,0.40671641791044777,0.39029771398192453,0.3862015728277126,0.6231,0.5958,0.5846,0.4621,0.3421,0.3667,132,76,60,"[61, 26, 45]","[23, 26, 27]","[19, 19, 22]",1.3999422788619995,0.42964352720450283,12.931253910064697
7,9.911436253643445e-05,0.5968279710813206,0.8402440029676037,268,0.6355539629896249,0.5,0.4531632110579478,0.45596863404656257,0.6251,0.6706,0.611,0.6288,0.4474,0.2833,132,76,60,"[83, 22, 27]","[30, 34, 12]","[32, 11, 17]",1.3075257539749146,0.4699812382739212,13.595866680145264
8,9.879583809693738e-05,0.5578305564643269,0.8719808754430797,268,0.6120672501840264,0.458955223880597,0.39885699096225413,0.40080186480186475,0.6335,0.6248,0.5779,0.6439,0.3026,0.25,132,76,60,"[85, 16, 31]","[34, 23, 19]","[35, 10, 15]",1.4272756576538086,0.44934333958724204,13.480546712875366
9,9.842915805643157e-05,0.5337921537538125,0.8911878657983678,268,0.6231918494302396,0.45149253731343286,0.42123870281765025,0.4130505751558384,0.6052,0.6535,0.6109,0.5076,0.5395,0.2167,132,76,60,"[67, 33, 32]","[26, 41, 9]","[22, 25, 13]",1.38973867893219,0.4324577861163227,13.412281274795532
10,9.801468428384717e-05,0.5007127996584164,0.9104772895886571,268,0.5965549307074075,0.4664179104477612,0.39577352472089317,0.39337872490633385,0.5685,0.6384,0.5828,0.697,0.2237,0.2667,132,76,60,"[92, 12, 28]","[50, 17, 9]","[39, 5, 16]",1.4288069009780884,0.45637898686679174,13.368481397628784
11,9.75528258147577e-05,0.48395912976053085,0.9237490726238562,268,0.6024970490358456,0.43656716417910446,0.39322169059011164,0.3903985507246377,0.6169,0.6203,0.5704,0.5455,0.4342,0.2,132,76,60,"[72, 35, 25]","[25, 33, 18]","[27, 21, 12]",1.4824174642562866,0.4226078799249531,13.430190324783325
12,9.70440384477113e-05,0.46794957456619407,0.9306734811639601,268,0.6065368216127697,0.43656716417910446,0.4100212652844231,0.4095990868777364,0.6021,0.629,0.5885,0.5152,0.3816,0.3333,132,76,60,"[68, 26, 38]","[26, 29, 21]","[28, 12, 20]",1.5163038969039917,0.4329268292682927,13.382530212402344
13,9.64888242944126e-05,0.4540683959226362,0.9401533261891023,268,0.6404613419561175,0.47388059701492535,0.41241360978203084,0.40820411295548126,0.6555,0.655,0.6109,0.6364,0.4342,0.1667,132,76,60,"[84, 24, 24]","[33, 33, 10]","[28, 22, 10]",1.3390312194824219,0.4732645403377111,13.474841594696045
14,9.588773128419907e-05,0.4423580583190792,0.9469128678592037,268,0.6270422637755262,0.48880597014925375,0.4495746943115364,0.45036764705882354,0.6233,0.6662,0.5917,0.6136,0.3684,0.3667,132,76,60,"[81, 19, 32]","[34, 28, 14]","[25, 13, 22]",1.4264886379241943,0.45825515947467166,13.353869438171387
15,9.5241352623301e-05,0.4308276815982813,0.9582886818893743,268,0.5881060320398556,0.43283582089552236,0.3820839978734716,0.3803603259485613,0.5788,0.6198,0.5657,0.5682,0.3947,0.1833,132,76,60,"[75, 30, 27]","[34, 30, 12]","[31, 18, 11]",1.4514029026031494,0.4329268292682927,13.316070795059204
16,9.455032620941843e-05,0.42046932478000576,0.9640590223394608,268,0.6304057220514264,0.4925373134328358,0.4078149920255183,0.4006377135409394,0.614,0.649,0.6282,0.7348,0.3553,0.1333,132,76,60,"[97, 16, 19]","[43, 27, 6]","[36, 16, 8]",1.3594077825546265,0.4817073170731707,13.018492937088013
17,9.381533400219321e-05,0.4117662377766672,0.9698293627895475,268,0.6064122090607191,0.4626865671641791,0.42721956406166933,0.4276858813700919,0.5973,0.641,0.581,0.5606,0.4211,0.3,132,76,60,"[74, 27, 31]","[33, 32, 11]","[27, 15, 18]",1.471901774406433,0.43855534709193245,13.110194206237793
18,9.303710135019722e-05,0.40656930880852776,0.9712307311845685,268,0.601753186936043,0.44776119402985076,0.4082934609250399,0.4096645259164178,0.5784,0.6473,0.5795,0.5758,0.3158,0.3333,132,76,60,"[76, 19, 37]","[34, 24, 18]","[32, 8, 20]",1.4462648630142212,0.4343339587242026,13.13975739479065
19,9.22163962751008e-05,0.40062250928664167,0.9749402357596241,268,0.6407282987802531,0.48134328358208955,0.4433545986177565,0.44498289286402537,0.6207,0.6633,0.6382,0.5985,0.3816,0.35,132,76,60,"[79, 20, 33]","[34, 29, 13]","[27, 12, 21]",1.3316982984542847,0.4643527204502814,13.303287267684937
20,9.135402871372814e-05,0.3985524560011541,0.9760943038496415,268,0.6299316846723967,0.48134328358208955,0.410287081339713,0.4105620098183027,0.6237,0.6488,0.6172,0.7045,0.2763,0.25,132,76,60,"[93, 13, 26]","[41, 21, 14]","[38, 7, 15]",1.3388051986694336,0.475140712945591,13.45503830909729
21,9.045084971874742e-05,0.394033791590244,0.9756821366746352,268,0.6186184075212713,0.4925373134328358,0.4169059011164275,0.41522311435123616,0.6184,0.6628,0.5746,0.7121,0.3553,0.1833,132,76,60,"[94, 19, 19]","[40, 27, 9]","[37, 12, 11]",1.3077616691589355,0.46669793621013134,13.232703447341919
22,8.950775061878456e-05,0.38563117606751296,0.9833484461297503,268,0.621201360021987,0.458955223880597,0.4079479000531632,0.408265889517517,0.6269,0.6347,0.6019,0.6212,0.3026,0.3,132,76,60,"[82, 21, 29]","[37, 23, 16]","[30, 12, 18]",1.3084053993225098,0.45825515947467166,13.070955991744995
23,8.852566213878951e-05,0.3827621463734441,0.9826065452147391,268,0.6084875325805087,0.47761194029850745,0.422434875066454,0.42418638009239656,0.5999,0.6192,0.6064,0.6515,0.3158,0.3,132,76,60,"[86, 23, 23]","[38, 24, 14]","[34, 8, 18]",1.3554788827896118,0.4545028142589118,13.1505708694458
24,8.750555348152303e-05,0.3813810643315679,0.9827714120847416,268,0.6197647937610206,0.47761194029850745,0.4035619351408825,0.4032375677112519,0.6063,0.6606,0.5924,0.7045,0.2895,0.2167,132,76,60,"[93, 14, 25]","[41, 22, 13]","[38, 9, 13]",1.2958825826644897,0.46810506566604126,13.388800859451294
25,8.644843137107063e-05,0.3754617962889498,0.9868930838348033,268,0.6295121110184965,0.5261194029850746,0.4389420520999468,0.4373362683191136,0.6317,0.663,0.5938,0.7879,0.3289,0.2,132,76,60,"[104, 16, 12]","[40, 25, 11]","[41, 7, 12]",1.2573432922363281,0.49577861163227016,13.068942070007324
26,8.535533905932742e-05,0.37467260080063475,0.9860687494847911,268,0.6394719439272457,0.5186567164179104,0.455103668261563,0.4570339724483592,0.628,0.6457,0.6447,0.7197,0.3289,0.3167,132,76,60,"[95, 16, 21]","[37, 25, 14]","[31, 10, 19]",1.2982674837112427,0.47607879924953095,13.403088569641113
27,8.422735529643448e-05,0.36971311071583135,0.989530953754843,268,0.6470781395462123,0.4664179104477612,0.4332535885167464,0.43460439949742663,0.6368,0.6904,0.6141,0.5682,0.3816,0.35,132,76,60,"[75, 18, 39]","[33, 29, 14]","[26, 13, 21]",1.314461588859558,0.4807692307692308,13.297082424163818
28,8.306559326618263e-05,0.3678010414305292,0.9887066194048306,268,0.5910005629045876,0.458955223880597,0.40326953748006383,0.4071338862357489,0.5714,0.6371,0.5646,0.6212,0.3553,0.2333,132,76,60,"[82, 21, 29]","[38, 27, 11]","[39, 7, 14]",1.3656227588653564,0.4427767354596623,13.085806846618652
29,8.187119948743452e-05,0.3630287976053087,0.9910971890198664,268,0.6111053659210587,0.44776119402985076,0.3977671451355662,0.39515365216299797,0.6033,0.6388,0.5913,0.5758,0.4342,0.1833,132,76,60,"[76, 31, 25]","[32, 33, 11]","[33, 16, 11]",1.3742753267288208,0.45590994371482174,13.01533555984497
30,8.064535268264887e-05,0.3641218053823881,0.990602588409859,268,0.6073441006877539,0.47761194029850745,0.39797979797979793,0.39688857433771046,0.6061,0.6384,0.5775,0.7273,0.25,0.2167,132,76,60,"[96, 9, 27]","[47, 19, 10]","[42, 5, 13]",1.3464442491531372,0.4596622889305816,13.280860424041748
31,7.938926261462371e-05,0.3621901742565535,0.9906850218448603,268,0.6062067447516364,0.45149253731343286,0.3809941520467836,0.38039540478564865,0.62,0.6321,0.5665,0.6667,0.2763,0.2,132,76,60,"[88, 15, 29]","[39, 21, 16]","[37, 11, 12]",1.329569935798645,0.45919324577861165,11.258482694625854
32,7.810416889260659e-05,0.3592409651667216,0.9919215233698788,268,0.6383181285948314,0.4925373134328358,0.44274322169059016,0.44116075674782557,0.6314,0.6521,0.6314,0.6212,0.4737,0.2333,132,76,60,"[82, 28, 22]","[30, 36, 10]","[29, 17, 14]",1.3341636657714844,0.46716697936210133,10.221212148666382
33,7.679133974894988e-05,0.35801118550871736,0.9922512571098838,268,0.5992904981585322,0.4664179104477612,0.40225943646996276,0.40593754920484965,0.5826,0.665,0.5502,0.6515,0.3553,0.2,132,76,60,"[86, 15, 31]","[36, 27, 13]","[38, 10, 12]",1.3525147438049316,0.4469981238273921,13.374561786651611
